Name,URL,Remote_Testing,Adaptive_IRT,Test_Type
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,yes,yes,C P A B
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,yes,yes,A K P
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,yes,yes,A B P S
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,yes,no,B P
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,yes,no,B P
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,yes,no,A B K P
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,yes,no,A B P
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,yes,yes,A B P S
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,yes,yes,B P S A
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,yes,yes,P S K B A
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,yes,no,A B P
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,yes,yes,B A P
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,yes,yes,P S A B
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,yes,no,A B C P S
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,yes,no,S B C P
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,yes,yes,A B P S
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,yes,no,P B C A S
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,yes,no,S B C P
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,yes,yes,A B P S
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,yes,no,A B P S
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,yes,yes,A B P
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,yes,yes,A B P
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,yes,yes,A B P
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,yes,yes,A B P
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,yes,yes,A B P
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,yes,no,B P A
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,yes,no,A B P
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,yes,no,C P
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,yes,no,C P
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,yes,no,C P
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,yes,no,B C P
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,yes,no,P B C
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,yes,no,C P B
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,yes,yes,S A B P
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,yes,yes,A B P
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,yes,no,A B P
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,yes,no,A B P
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,yes,yes,A B P
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,yes,yes,A B P S
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,yes,yes,S A B K P
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,yes,no,B
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,yes,no,B
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,yes,no,B
General Entry Level â€“ Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,yes,no,B K
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,yes,no,A B P
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,yes,no,B C
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,yes,no,P B
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,yes,no,B
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,yes,yes,A B P S
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,yes,no,B
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,yes,yes,A B P S
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,yes,yes,A B P
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,yes,yes,A B P
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,yes,yes,A B P
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,yes,yes,A B K P
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,yes,yes,B P
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,yes,no,B
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,yes,no,B
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,yes,no,B
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,yes,yes,A B
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,yes,no,B
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,yes,no,B
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,yes,no,A B
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,yes,no,A B
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,yes,yes,A B P S
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,yes,yes,A B P S
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,yes,yes,A B P S
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,yes,yes,A B P
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,yes,yes,A B P
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,yes,yes,A B P S
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,yes,yes,A B K P S
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,yes,yes,A B C
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,yes,yes,B C P
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,yes,yes,B C P
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,yes,no,B C
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,yes,no,B C P
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,yes,no,B C P
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,yes,no,B K P
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,yes,no,B K P
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,yes,no,A B
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,yes,no,A B
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,yes,yes,P S K B A
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,yes,yes,S A B P
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,yes,yes,P A B
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,yes,no,A B P
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,yes,no,A B K P S
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,yes,no,A B P
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,yes,yes,A B P
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,yes,yes,A B C
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,yes,yes,B C P
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,yes,yes,B C P
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,yes,no,B C
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,yes,no,C B
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,yes,no,B K P
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,yes,yes,A B P S
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,yes,yes,A B P S
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,yes,no,S
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,yes,yes,A P S B
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,yes,yes,A B P S
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,yes,yes,A B P
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,yes,yes,A B P
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,yes,yes,A B P
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,yes,yes,A B P
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,yes,yes,A B P
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,yes,yes,A B K P S
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,yes,yes,A B P
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,yes,no,C B
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,yes,no,B C
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,yes,yes,A B P
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,yes,yes,A B P
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,yes,yes,A B P
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,yes,yes,A B P
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,yes,no,A B P
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,yes,yes,A B P
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,yes,yes,B A P
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,yes,yes,A B P
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,yes,yes,A B P
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,yes,no,A B P
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,yes,no,B C
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,yes,no,B C
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,yes,no,C B
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,yes,yes,A B P
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,yes,yes,S
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,yes,no,B C
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,yes,no,B C P
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,yes,no,P C B
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,yes,yes,A B P
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,yes,yes,A P S B
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,yes,no,A B P
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,yes,yes,A B P
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,yes,no,C P
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,yes,yes,A B P
Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,yes,yes,B K P S
Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,yes,no,A B K P S
Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,yes,yes,A B K P
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,yes,no,B
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,yes,no,B
Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,yes,no,B
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,yes,no,B C P
Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,yes,no,B C P
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,yes,yes,B P
